Zone,Crop,Temp_14d_Avg,Humid_14d_Avg,Rain_14d_Total,Disease_Occurred
Bundelkhand,Gram,12.9,53.2,5.9,0
Kymore Plateau & Satpura Hills,Paddy,35.3,72.3,15.1,0
Satpura Highlands,Coarse Millets,38.1,97.7,16.3,1
Malwa Plateau,Soybean,30.3,80.1,20.9,0
Northern Hill Region of Chhattisgarh,Maize,25.6,76.1,49.6,0
Vindhyan Plateau,Wheat,17.2,40.7,1.5,0
Nimar Plains,Cotton,34.4,78.9,47.2,0
Chhattisgarh Plains,Paddy,32.4,68.3,7.9,1
Malwa Plateau,Soybean,28.8,82.4,53.3,0
Vindhyan Plateau,Wheat,27.1,30.4,14.7,0
Vindhyan Plateau,Wheat,26.2,56.6,2.4,0
Malwa Plateau,Wheat,24.9,13.8,0.1,0
Chambal Valley,Wheat,17.9,52.8,3.2,0
Chhattisgarh Plains,Flaxseed,30.7,38.6,3.9,0
Chambal Valley,Wheat,19.7,42.7,10.0,0
Northern Hill Region of Chhattisgarh,Paddy,28.8,70.1,21.7,0
Jhabua Hills,Black Gram,33.3,92.7,16.7,1
Kymore Plateau & Satpura Hills,Soybean,26.7,80.1,28.7,0
Northern Hill Region of Chhattisgarh,Maize,26.7,73.1,58.0,0
Nimar Plains,Soybean,34.2,82.5,16.1,1
Bundelkhand,Jowar,28.7,83.4,22.6,0
Jhabua Hills,Soybean,27.4,105.5,12.8,1
Chhattisgarh Plains,Paddy,27.2,79.4,5.2,0
Northern Hill Region of Chhattisgarh,Wheat,14.6,51.1,3.2,0
Chhattisgarh Plains,Kodo-Kutki,29.9,70.7,15.8,0
Central Narmada Valley,Wheat,15.2,42.0,2.6,0
Northern Hill Region of Chhattisgarh,Maize,25.2,72.3,25.7,1
Kymore Plateau & Satpura Hills,Gram,25.0,63.1,3.4,0
Bundelkhand,Jowar,35.6,64.7,27.1,0
Chhattisgarh Plains,Kodo-Kutki,25.8,88.7,0.9,0
Northern Hill Region of Chhattisgarh,Wheat,20.8,38.9,5.2,0
Chambal Valley,Mustard,14.4,62.0,4.6,0
Central Narmada Valley,Wheat,26.4,11.7,3.0,0
Bundelkhand,Lentil,21.8,30.3,7.7,0
Vindhyan Plateau,Gram,21.2,48.5,6.3,0
Satpura Highlands,Coarse Millets,37.3,103.0,4.5,1
Kymore Plateau & Satpura Hills,Soybean,26.5,71.8,2.3,0
Bundelkhand,Lentil,21.4,29.2,1.9,0
Nimar Plains,Cotton,30.6,91.4,10.8,1
Jhabua Hills,Cotton,24.4,74.2,4.3,0
Kymore Plateau & Satpura Hills,Wheat,20.9,30.6,0.6,1
Vindhyan Plateau,Gram,18.2,59.6,8.2,0
Northern Hill Region of Chhattisgarh,Wheat,16.9,38.0,9.0,0
Nimar Plains,Soybean,29.9,85.7,87.5,1
Central Narmada Valley,Sugarcane,31.8,65.8,62.3,0
Vindhyan Plateau,Wheat,19.0,63.8,7.7,1
Kymore Plateau & Satpura Hills,Gram,19.3,56.7,0.8,0
Satpura Highlands,Coarse Millets,33.8,61.1,85.2,0
Chhattisgarh Plains,Kodo-Kutki,32.2,93.9,27.6,1
Vindhyan Plateau,Paddy,38.7,73.5,8.8,0
Central Narmada Valley,Gram,19.4,48.8,0.0,0
Chhattisgarh Plains,Kodo-Kutki,32.9,71.6,24.4,0
Vindhyan Plateau,Gram,17.2,36.9,4.8,0
Chhattisgarh Plains,Flaxseed,15.7,51.2,6.7,0
Kymore Plateau & Satpura Hills,Wheat,22.6,63.0,5.9,0
Vindhyan Plateau,Paddy,34.1,74.4,9.6,0
Nimar Plains,Cotton,21.8,87.7,14.2,1
Malwa Plateau,Cotton,30.7,63.5,8.2,0
Vindhyan Plateau,Gram,19.6,45.0,2.6,0
Malwa Plateau,Cotton,25.1,73.3,54.0,1
Kymore Plateau & Satpura Hills,Paddy,27.2,79.8,69.2,0
Nimar Plains,Sorghum,35.0,81.1,0.8,0
Kymore Plateau & Satpura Hills,Soybean,29.3,79.3,4.1,0
Satpura Highlands,Coarse Millets,34.9,55.8,6.5,0
Malwa Plateau,Soybean,38.9,77.9,62.6,0
Central Narmada Valley,Soybean,32.8,81.9,12.7,0
Kymore Plateau & Satpura Hills,Soybean,33.0,101.9,108.6,1
Malwa Plateau,Soybean,26.5,88.4,38.1,0
Chambal Valley,Wheat,16.6,63.5,9.1,0
Malwa Plateau,Soybean,33.0,78.4,6.1,0
Malwa Plateau,Cotton,30.8,85.0,22.0,1
Malwa Plateau,Maize,35.8,63.3,18.5,0
Jhabua Hills,Black Gram,23.0,85.2,6.6,1
Nimar Plains,Cotton,24.0,79.2,3.1,0
Northern Hill Region of Chhattisgarh,Wheat,19.8,51.1,6.6,0
Central Narmada Valley,Gram,15.6,45.0,0.3,0
Jhabua Hills,Cotton,27.5,85.4,12.8,1
Bundelkhand,Jowar,34.7,66.5,6.1,0
Vindhyan Plateau,Wheat,23.2,53.8,3.1,0
Central Narmada Valley,Gram,12.0,30.6,3.9,1
Nimar Plains,Sorghum,29.7,81.0,18.1,0
Nimar Plains,Sorghum,22.3,76.0,14.4,0
Jhabua Hills,Black Gram,41.0,76.7,4.6,1
Bundelkhand,Wheat,17.1,40.1,12.6,0
Jhabua Hills,Maize,33.0,77.3,38.9,0
Northern Hill Region of Chhattisgarh,Wheat,26.6,26.3,12.0,0
Satpura Highlands,Maize,30.9,72.7,18.7,0
Chambal Valley,Wheat,23.0,50.9,1.0,0
Nimar Plains,Sorghum,35.9,89.1,32.0,1
Nimar Plains,Wheat,18.9,41.0,5.8,0
Nimar Plains,Soybean,21.4,94.8,12.4,1
Satpura Highlands,Paddy,25.9,97.1,69.8,1
Jhabua Hills,Black Gram,31.3,61.9,38.6,1
Jhabua Hills,Maize,35.3,63.5,0.9,0
Jhabua Hills,Black Gram,27.4,53.3,23.5,0
Jhabua Hills,Soybean,27.4,88.4,12.4,1
Central Narmada Valley,Soybean,31.0,72.0,60.5,0
Bundelkhand,Jowar,28.9,86.4,26.5,1
Central Narmada Valley,Soybean,23.3,71.5,1.2,0
Chambal Valley,Mustard,25.8,70.6,1.4,0
Jhabua Hills,Black Gram,22.2,78.9,2.7,0
Malwa Plateau,Cotton,30.2,90.8,6.2,1
Nimar Plains,Sorghum,26.1,82.8,5.1,1
Central Narmada Valley,Sugarcane,37.9,71.7,80.3,0
Chambal Valley,Mustard,20.0,40.3,1.5,1
Malwa Plateau,Wheat,24.8,55.4,20.6,0
Bundelkhand,Jowar,27.4,81.9,12.0,0
Nimar Plains,Sorghum,25.9,77.5,8.8,0
Chhattisgarh Plains,Kodo-Kutki,35.6,77.9,3.0,0
Bundelkhand,Jowar,27.1,84.8,25.5,0
Satpura Highlands,Coarse Millets,26.4,91.1,10.9,1
Malwa Plateau,Cotton,37.3,85.0,237.4,1
Northern Hill Region of Chhattisgarh,Niger,31.6,85.2,32.8,1
Vindhyan Plateau,Paddy,33.8,83.3,53.8,0
Vindhyan Plateau,Paddy,29.9,67.9,5.4,1
Vindhyan Plateau,Wheat,18.4,32.6,11.5,0
Vindhyan Plateau,Paddy,28.5,63.9,19.4,0
Nimar Plains,Sorghum,24.6,89.9,12.8,0
Malwa Plateau,Cotton,28.3,85.7,5.6,0
Kymore Plateau & Satpura Hills,Soybean,27.9,93.7,16.4,1
Central Narmada Valley,Sugarcane,28.3,100.9,51.7,1
Bundelkhand,Wheat,17.2,52.2,4.8,0
Central Narmada Valley,Soybean,27.7,91.2,22.1,1
Satpura Highlands,Coarse Millets,25.4,83.7,106.4,0
Chhattisgarh Plains,Flaxseed,18.5,43.6,11.7,0
Chambal Valley,Wheat,15.8,50.9,1.7,0
Jhabua Hills,Black Gram,33.5,97.7,17.1,1
Bundelkhand,Jowar,28.4,79.1,5.9,0
Malwa Plateau,Soybean,30.4,73.6,19.9,0
Nimar Plains,Soybean,35.3,70.7,12.8,0
Nimar Plains,Soybean,29.9,72.2,32.1,0
Jhabua Hills,Cotton,33.0,88.3,64.0,1
Nimar Plains,Sorghum,24.7,71.0,34.8,0
Northern Hill Region of Chhattisgarh,Maize,31.0,87.2,15.9,1
Satpura Highlands,Paddy,29.8,73.5,43.7,0
Chambal Valley,Sorghum,25.1,90.4,3.1,0
Central Narmada Valley,Wheat,22.2,23.2,0.3,0
Kymore Plateau & Satpura Hills,Paddy,35.4,98.5,20.0,1
Kymore Plateau & Satpura Hills,Paddy,29.3,76.8,57.0,1
Nimar Plains,Soybean,30.9,88.1,0.8,1
Bundelkhand,Jowar,25.5,90.0,12.4,1
Nimar Plains,Soybean,27.5,93.6,7.4,1
Bundelkhand,Lentil,21.6,47.7,5.9,0
Jhabua Hills,Soybean,31.6,88.9,7.0,1
Malwa Plateau,Soybean,28.2,85.2,30.1,0
Kymore Plateau & Satpura Hills,Soybean,33.0,59.3,33.0,0
Vindhyan Plateau,Paddy,33.8,92.2,12.0,1
Northern Hill Region of Chhattisgarh,Wheat,17.2,32.1,5.3,0
Kymore Plateau & Satpura Hills,Wheat,22.5,57.4,4.4,0
Central Narmada Valley,Wheat,21.0,47.2,3.4,0
Kymore Plateau & Satpura Hills,Wheat,21.4,62.4,2.1,0
Chhattisgarh Plains,Flaxseed,23.5,51.9,2.0,0
Kymore Plateau & Satpura Hills,Wheat,28.0,59.6,7.4,0
Northern Hill Region of Chhattisgarh,Paddy,32.0,67.8,4.3,1
Vindhyan Plateau,Wheat,23.9,43.1,3.1,0
Chambal Valley,Mustard,12.4,58.3,4.1,0
Bundelkhand,Lentil,13.8,47.7,8.9,0
Northern Hill Region of Chhattisgarh,Niger,25.6,96.3,24.8,1
Chambal Valley,Mustard,12.6,37.6,1.7,0
Bundelkhand,Lentil,19.6,48.6,2.1,0
Jhabua Hills,Black Gram,36.9,78.8,33.4,0
Jhabua Hills,Cotton,29.2,73.8,6.6,0
Bundelkhand,Jowar,28.7,76.8,67.9,0
Malwa Plateau,Cotton,33.0,88.1,2.8,1
Chambal Valley,Wheat,22.5,26.1,8.6,0
Jhabua Hills,Maize,29.0,79.5,52.9,0
Northern Hill Region of Chhattisgarh,Wheat,14.4,28.2,0.2,0
Northern Hill Region of Chhattisgarh,Maize,29.7,75.7,0.8,0
Vindhyan Plateau,Paddy,32.1,75.8,14.3,0
Chambal Valley,Wheat,15.5,39.8,0.7,0
Central Narmada Valley,Sugarcane,29.0,77.3,8.3,0
Chambal Valley,Wheat,21.1,56.5,2.8,0
Satpura Highlands,Paddy,26.9,90.5,9.3,1
Central Narmada Valley,Soybean,22.8,96.2,0.9,1
Northern Hill Region of Chhattisgarh,Paddy,25.9,65.8,1.7,0
Malwa Plateau,Soybean,25.0,71.5,78.4,0
Central Narmada Valley,Gram,23.6,36.0,3.7,0
Nimar Plains,Soybean,35.3,80.6,73.3,0
Kymore Plateau & Satpura Hills,Gram,24.8,52.5,7.0,1
Chambal Valley,Sorghum,33.0,69.1,18.9,0
Bundelkhand,Lentil,20.2,39.2,2.4,0
Nimar Plains,Sorghum,28.5,58.3,13.3,0
Nimar Plains,Cotton,28.4,81.3,42.9,0
Northern Hill Region of Chhattisgarh,Niger,35.3,76.9,17.6,0
Central Narmada Valley,Gram,22.7,44.6,3.1,0
Kymore Plateau & Satpura Hills,Soybean,36.1,74.0,19.9,0
Kymore Plateau & Satpura Hills,Paddy,22.8,96.6,2.9,1
Vindhyan Plateau,Wheat,24.4,33.9,1.5,0
Bundelkhand,Gram,17.0,66.7,11.5,0
Malwa Plateau,Maize,28.2,93.7,45.8,1
Bundelkhand,Wheat,30.2,64.1,13.7,0
Central Narmada Valley,Gram,22.5,25.7,16.7,0
Satpura Highlands,Coarse Millets,38.2,89.1,13.4,1
Vindhyan Plateau,Paddy,27.0,74.7,16.5,0
Bundelkhand,Jowar,30.5,93.0,9.9,1
Nimar Plains,Cotton,26.9,74.3,18.8,0
Jhabua Hills,Soybean,28.7,55.7,40.1,0
Jhabua Hills,Soybean,24.5,73.7,10.3,1
Nimar Plains,Wheat,13.6,34.9,1.3,0
Malwa Plateau,Maize,27.5,64.0,17.7,0
Vindhyan Plateau,Paddy,33.1,77.3,14.6,0
Chambal Valley,Mustard,19.4,28.3,2.8,0
Jhabua Hills,Maize,29.5,68.2,5.3,1
Northern Hill Region of Chhattisgarh,Wheat,15.2,49.2,7.7,0
Chhattisgarh Plains,Kodo-Kutki,26.8,85.6,12.5,0
Kymore Plateau & Satpura Hills,Paddy,30.8,63.3,23.0,0
Northern Hill Region of Chhattisgarh,Maize,31.9,93.2,6.5,1
Northern Hill Region of Chhattisgarh,Niger,22.6,84.3,7.8,0
Nimar Plains,Wheat,22.9,25.1,3.0,0
Nimar Plains,Wheat,11.3,44.0,0.8,0
Chambal Valley,Wheat,21.3,59.6,5.2,0
Nimar Plains,Sorghum,30.7,87.4,128.2,1
Satpura Highlands,Paddy,30.6,73.6,36.2,0
Kymore Plateau & Satpura Hills,Paddy,29.4,83.8,29.2,0
Satpura Highlands,Paddy,31.7,76.6,2.9,0
Kymore Plateau & Satpura Hills,Soybean,30.1,67.2,75.8,0
Jhabua Hills,Black Gram,25.0,83.5,14.2,0
Bundelkhand,Gram,18.3,54.7,0.2,0
Kymore Plateau & Satpura Hills,Soybean,31.8,101.0,2.9,1
Northern Hill Region of Chhattisgarh,Niger,30.0,100.9,23.2,1
Satpura Highlands,Paddy,21.0,99.3,12.4,1
Northern Hill Region of Chhattisgarh,Niger,24.1,60.1,33.0,0
Vindhyan Plateau,Wheat,25.6,37.7,1.9,0
Vindhyan Plateau,Gram,13.8,55.9,7.6,1
Satpura Highlands,Coarse Millets,25.5,95.2,12.0,1
Nimar Plains,Soybean,34.9,86.6,4.7,1
Chhattisgarh Plains,Flaxseed,22.3,33.5,1.7,0
Satpura Highlands,Coarse Millets,24.7,78.2,26.0,1
Bundelkhand,Lentil,14.9,41.0,8.4,0
Malwa Plateau,Cotton,31.1,77.8,17.5,0
Chambal Valley,Wheat,13.2,73.3,2.1,0
Chambal Valley,Sorghum,26.9,74.5,11.5,0
Kymore Plateau & Satpura Hills,Gram,16.4,40.9,3.5,0
Chambal Valley,Mustard,22.7,28.2,10.8,1
Vindhyan Plateau,Paddy,29.9,81.0,38.3,0
Satpura Highlands,Maize,33.1,81.3,2.7,0
Vindhyan Plateau,Wheat,23.0,18.9,2.4,0
Malwa Plateau,Maize,33.3,90.1,10.6,1
Bundelkhand,Wheat,20.2,45.4,0.7,0
Central Narmada Valley,Sugarcane,31.5,80.1,1.5,0
Bundelkhand,Lentil,17.9,65.2,1.5,0
Bundelkhand,Gram,19.3,58.0,10.3,0
Chambal Valley,Mustard,27.4,57.6,2.7,0
Northern Hill Region of Chhattisgarh,Paddy,28.2,75.3,16.4,0
Bundelkhand,Gram,23.2,86.4,3.6,0
Bundelkhand,Jowar,30.4,76.9,10.6,0
Northern Hill Region of Chhattisgarh,Wheat,19.6,68.2,0.9,0
Jhabua Hills,Cotton,31.9,76.9,13.2,0
Vindhyan Plateau,Wheat,12.6,16.6,10.6,0
Jhabua Hills,Maize,29.9,62.9,57.6,0
Northern Hill Region of Chhattisgarh,Maize,23.6,96.3,17.6,1
Kymore Plateau & Satpura Hills,Gram,17.4,71.4,6.9,1
Nimar Plains,Cotton,27.0,78.1,55.7,0
Malwa Plateau,Maize,34.8,81.5,13.0,0
Bundelkhand,Wheat,31.3,33.0,3.8,1
Central Narmada Valley,Gram,17.7,46.9,3.5,0
Satpura Highlands,Paddy,29.6,71.1,4.5,0
Chhattisgarh Plains,Kodo-Kutki,35.9,61.4,17.4,0
Chhattisgarh Plains,Kodo-Kutki,30.9,87.8,7.9,0
Chambal Valley,Mustard,18.3,55.1,6.0,0
Chhattisgarh Plains,Paddy,33.1,110.6,42.4,1
Kymore Plateau & Satpura Hills,Soybean,30.4,78.2,4.6,0
Kymore Plateau & Satpura Hills,Gram,24.6,52.8,3.3,1
Chambal Valley,Wheat,19.6,42.1,2.4,0
Bundelkhand,Gram,21.6,50.1,1.8,0
Kymore Plateau & Satpura Hills,Paddy,23.6,69.0,2.6,0
Chambal Valley,Mustard,18.1,39.7,10.9,0
Chhattisgarh Plains,Kodo-Kutki,25.0,103.1,6.8,1
Vindhyan Plateau,Gram,14.1,40.8,0.6,0
Vindhyan Plateau,Wheat,7.6,23.5,4.9,0
Central Narmada Valley,Sugarcane,28.7,61.2,3.3,0
Chhattisgarh Plains,Flaxseed,22.4,48.6,3.7,0
Chambal Valley,Sorghum,34.6,86.0,45.1,1
Kymore Plateau & Satpura Hills,Gram,8.1,40.7,2.5,0
Northern Hill Region of Chhattisgarh,Paddy,31.8,53.0,47.1,0
Bundelkhand,Wheat,14.9,50.9,0.7,0
Kymore Plateau & Satpura Hills,Wheat,18.3,52.7,2.6,0
Central Narmada Valley,Soybean,30.3,100.1,58.3,1
Jhabua Hills,Soybean,25.8,65.7,5.0,1
Central Narmada Valley,Wheat,23.5,56.9,0.2,0
Central Narmada Valley,Sugarcane,38.0,86.2,42.6,1
Chhattisgarh Plains,Kodo-Kutki,28.0,71.0,1.1,0
Chhattisgarh Plains,Paddy,39.6,85.9,12.0,1
Nimar Plains,Cotton,28.0,96.7,32.1,1
Chambal Valley,Sorghum,31.1,62.5,23.0,1
Chhattisgarh Plains,Kodo-Kutki,21.5,83.9,18.7,0
Vindhyan Plateau,Gram,10.7,62.3,1.0,0
Northern Hill Region of Chhattisgarh,Wheat,20.5,58.8,8.4,0
Chambal Valley,Wheat,18.5,91.2,6.6,0
Chambal Valley,Mustard,16.8,31.2,0.1,1
Vindhyan Plateau,Wheat,25.3,42.6,5.2,0
Satpura Highlands,Maize,26.0,31.8,93.9,1
Satpura Highlands,Paddy,29.8,76.8,70.8,1
Northern Hill Region of Chhattisgarh,Wheat,19.4,50.2,1.2,0
Chhattisgarh Plains,Flaxseed,13.8,59.8,0.9,0
Bundelkhand,Gram,15.5,69.6,4.4,0
Malwa Plateau,Maize,35.5,80.7,17.2,1
Bundelkhand,Jowar,32.7,78.0,24.6,0
Bundelkhand,Jowar,26.4,70.2,8.8,0
Malwa Plateau,Soybean,25.9,82.5,6.7,0
Chhattisgarh Plains,Kodo-Kutki,28.5,88.2,8.6,1
Vindhyan Plateau,Paddy,24.1,80.9,23.4,0
Northern Hill Region of Chhattisgarh,Maize,24.4,80.1,32.7,1
Bundelkhand,Jowar,32.1,77.4,15.2,0
Chambal Valley,Mustard,24.2,57.0,2.2,0
Northern Hill Region of Chhattisgarh,Paddy,29.6,96.9,40.2,1
Nimar Plains,Wheat,23.0,54.5,1.9,0
Malwa Plateau,Wheat,22.7,40.7,1.1,0
Bundelkhand,Gram,18.9,68.2,0.0,0
Chhattisgarh Plains,Paddy,27.6,88.9,11.7,1
Kymore Plateau & Satpura Hills,Gram,17.7,40.7,18.0,0
Chambal Valley,Mustard,28.3,47.8,5.4,0
Central Narmada Valley,Gram,16.1,67.0,7.8,0
Satpura Highlands,Maize,25.2,73.5,31.0,0
Bundelkhand,Lentil,27.8,31.7,11.9,0
Vindhyan Plateau,Paddy,25.3,55.8,1.9,0
Central Narmada Valley,Gram,20.9,31.6,9.7,0
Vindhyan Plateau,Paddy,26.4,78.7,22.9,0
Kymore Plateau & Satpura Hills,Gram,29.3,55.7,8.8,0
Nimar Plains,Cotton,28.1,92.0,4.8,1
Central Narmada Valley,Gram,26.4,51.0,7.1,0
Nimar Plains,Cotton,33.2,50.9,17.7,0
Malwa Plateau,Soybean,30.5,77.8,28.9,1
Satpura Highlands,Maize,30.5,68.5,22.4,0
Chhattisgarh Plains,Flaxseed,18.4,56.1,4.5,0
Nimar Plains,Sorghum,27.2,77.5,36.6,0
Jhabua Hills,Black Gram,32.6,80.5,8.6,0
Malwa Plateau,Wheat,17.3,62.4,3.0,0
Bundelkhand,Gram,27.5,29.6,8.4,0
Kymore Plateau & Satpura Hills,Wheat,26.1,68.1,11.6,0
Chhattisgarh Plains,Kodo-Kutki,39.3,84.8,2.4,0
Malwa Plateau,Maize,31.7,98.0,35.3,1
Bundelkhand,Lentil,12.0,55.9,1.3,0
Northern Hill Region of Chhattisgarh,Wheat,22.6,62.8,5.4,0
Malwa Plateau,Maize,26.9,74.1,14.9,0
Nimar Plains,Cotton,29.6,83.9,1.6,1
Kymore Plateau & Satpura Hills,Wheat,20.7,55.4,14.2,0
Northern Hill Region of Chhattisgarh,Wheat,16.5,59.2,4.8,0
Kymore Plateau & Satpura Hills,Gram,24.7,48.9,3.5,0
Northern Hill Region of Chhattisgarh,Wheat,16.8,42.4,2.1,0
Nimar Plains,Wheat,19.2,75.3,2.4,0
Northern Hill Region of Chhattisgarh,Wheat,30.5,36.7,0.7,1
Bundelkhand,Lentil,13.2,48.6,0.6,0
Nimar Plains,Cotton,31.4,78.6,2.2,0
Jhabua Hills,Cotton,29.9,85.0,4.4,0
Kymore Plateau & Satpura Hills,Gram,29.6,49.6,4.4,0
Northern Hill Region of Chhattisgarh,Wheat,25.6,34.1,1.3,0
Chambal Valley,Sorghum,33.7,72.4,29.8,1
Chhattisgarh Plains,Flaxseed,19.9,69.6,2.1,0
Northern Hill Region of Chhattisgarh,Niger,31.7,78.4,47.6,0
Bundelkhand,Gram,17.6,41.8,4.8,0
Malwa Plateau,Maize,31.5,81.4,10.2,0
Kymore Plateau & Satpura Hills,Gram,23.6,54.9,3.0,0
Vindhyan Plateau,Gram,26.6,51.4,1.8,0
Chambal Valley,Mustard,15.4,53.9,1.7,1
Central Narmada Valley,Sugarcane,32.3,84.5,12.2,0
Bundelkhand,Jowar,33.4,74.7,40.6,0
Northern Hill Region of Chhattisgarh,Niger,18.7,90.0,10.3,1
Malwa Plateau,Soybean,31.0,61.1,31.6,1
Nimar Plains,Sorghum,25.3,74.7,35.7,0
Chambal Valley,Mustard,24.1,52.1,3.7,0
Nimar Plains,Wheat,20.1,42.4,0.4,0
Nimar Plains,Sorghum,28.4,82.4,6.3,0
Nimar Plains,Wheat,28.2,82.9,15.8,1
Vindhyan Plateau,Paddy,33.0,55.7,23.9,0
Vindhyan Plateau,Paddy,30.6,95.7,9.1,1
Nimar Plains,Sorghum,35.8,84.2,39.6,0
Satpura Highlands,Paddy,23.2,72.7,19.0,1
Jhabua Hills,Black Gram,30.0,106.7,24.9,0
Nimar Plains,Wheat,17.9,39.3,1.5,0
Chambal Valley,Sorghum,21.0,78.8,20.3,0
Northern Hill Region of Chhattisgarh,Maize,31.5,58.3,8.1,0
Central Narmada Valley,Sugarcane,29.7,97.1,21.3,0
Chhattisgarh Plains,Flaxseed,26.4,44.4,7.4,0
Kymore Plateau & Satpura Hills,Wheat,18.7,51.7,1.7,0
Central Narmada Valley,Gram,23.7,48.5,0.8,0
Chambal Valley,Mustard,20.5,58.7,1.8,0
Jhabua Hills,Soybean,24.9,72.5,2.7,0
Kymore Plateau & Satpura Hills,Wheat,30.5,61.5,4.4,1
Nimar Plains,Wheat,20.1,50.5,17.9,0
Kymore Plateau & Satpura Hills,Gram,12.5,43.7,0.0,0
Bundelkhand,Lentil,27.3,64.0,2.3,0
Chambal Valley,Wheat,14.6,60.4,0.0,1
Chhattisgarh Plains,Paddy,27.8,73.7,31.6,0
Kymore Plateau & Satpura Hills,Wheat,18.5,33.7,0.5,0
Bundelkhand,Wheat,21.6,71.0,6.4,0
Chambal Valley,Wheat,28.8,93.5,3.2,1
Northern Hill Region of Chhattisgarh,Paddy,27.6,85.1,24.3,0
Chambal Valley,Sorghum,26.1,76.3,49.5,0
Kymore Plateau & Satpura Hills,Soybean,27.1,72.7,46.0,0
Satpura Highlands,Coarse Millets,33.3,82.6,12.7,1
Chhattisgarh Plains,Paddy,33.1,88.9,27.2,1
Kymore Plateau & Satpura Hills,Soybean,30.3,70.2,9.4,0
Northern Hill Region of Chhattisgarh,Wheat,23.0,58.0,16.8,0
Central Narmada Valley,Soybean,22.6,70.2,20.8,0
Chambal Valley,Mustard,24.1,61.8,2.5,0
Chhattisgarh Plains,Kodo-Kutki,31.8,58.5,9.6,0
Jhabua Hills,Soybean,31.2,93.7,11.6,0
Chhattisgarh Plains,Flaxseed,18.0,73.7,0.6,0
Vindhyan Plateau,Wheat,5.0,34.8,2.8,0
Jhabua Hills,Black Gram,33.5,61.8,6.8,0
Vindhyan Plateau,Paddy,23.4,84.9,0.9,1
Malwa Plateau,Soybean,19.4,69.3,32.3,0
Chhattisgarh Plains,Flaxseed,16.6,68.4,11.0,0
Satpura Highlands,Coarse Millets,30.7,86.1,13.3,1
Kymore Plateau & Satpura Hills,Wheat,14.5,54.0,6.0,0
Chhattisgarh Plains,Flaxseed,18.2,51.3,3.5,0
Central Narmada Valley,Wheat,24.3,39.6,1.6,0
Vindhyan Plateau,Gram,24.5,66.4,7.9,0
Satpura Highlands,Maize,26.3,56.0,21.0,0
Northern Hill Region of Chhattisgarh,Maize,30.7,64.2,15.0,0
Central Narmada Valley,Soybean,31.8,93.6,31.5,0
Northern Hill Region of Chhattisgarh,Paddy,22.0,78.2,3.8,0
Bundelkhand,Wheat,16.8,40.7,2.0,0
Kymore Plateau & Satpura Hills,Paddy,33.2,73.0,11.1,0
Central Narmada Valley,Soybean,33.2,68.7,35.2,0
Northern Hill Region of Chhattisgarh,Maize,34.8,72.0,24.4,0
Malwa Plateau,Maize,33.5,58.7,1.0,0
Chambal Valley,Mustard,14.2,49.3,2.9,0
Vindhyan Plateau,Wheat,21.6,51.0,3.0,0
Chambal Valley,Wheat,13.9,65.0,3.4,0
Northern Hill Region of Chhattisgarh,Niger,27.1,65.1,4.4,0
Nimar Plains,Wheat,20.3,62.4,2.5,0
Vindhyan Plateau,Wheat,17.2,36.8,18.6,0
Kymore Plateau & Satpura Hills,Paddy,28.3,81.1,2.1,0
Jhabua Hills,Cotton,25.3,104.7,68.0,1
Jhabua Hills,Cotton,28.6,77.0,3.8,0
Central Narmada Valley,Gram,21.5,49.3,0.9,0
Jhabua Hills,Black Gram,31.2,56.2,73.3,0
Northern Hill Region of Chhattisgarh,Niger,21.0,80.4,3.8,0
Chhattisgarh Plains,Flaxseed,18.4,49.2,21.2,0
Jhabua Hills,Black Gram,32.8,75.9,18.4,0
Chambal Valley,Wheat,21.7,60.2,0.8,0
Malwa Plateau,Maize,26.8,85.5,50.6,1
Vindhyan Plateau,Wheat,16.2,46.9,0.8,0
Vindhyan Plateau,Gram,26.0,43.1,4.4,0
Chambal Valley,Wheat,20.6,51.5,9.5,0
Nimar Plains,Soybean,36.2,101.3,18.8,1
Nimar Plains,Sorghum,28.9,67.5,2.0,0
Satpura Highlands,Maize,24.8,55.0,1.6,0
Northern Hill Region of Chhattisgarh,Maize,34.6,76.3,5.1,0
Malwa Plateau,Maize,38.9,81.6,12.5,0
Malwa Plateau,Soybean,29.4,85.8,18.3,1
Central Narmada Valley,Gram,19.9,36.7,4.8,0
Malwa Plateau,Wheat,14.2,28.2,5.6,0
Bundelkhand,Lentil,18.6,49.6,7.4,0
Jhabua Hills,Cotton,36.8,110.2,30.5,1
Jhabua Hills,Soybean,32.7,98.2,27.1,1
Kymore Plateau & Satpura Hills,Wheat,20.1,52.4,0.6,0
Bundelkhand,Gram,21.4,42.7,17.4,0
Northern Hill Region of Chhattisgarh,Wheat,20.9,52.6,6.6,0
Central Narmada Valley,Sugarcane,32.4,74.9,17.2,0
Malwa Plateau,Cotton,29.7,76.7,42.3,1
Northern Hill Region of Chhattisgarh,Wheat,22.6,37.3,0.8,0
Nimar Plains,Wheat,18.4,75.1,21.4,0
Chambal Valley,Sorghum,35.5,70.7,17.1,0
Chambal Valley,Mustard,28.1,20.7,15.0,0
Northern Hill Region of Chhattisgarh,Maize,18.4,62.7,25.9,0
Vindhyan Plateau,Wheat,21.8,58.3,3.4,0
Satpura Highlands,Paddy,22.0,54.8,0.4,0
Bundelkhand,Lentil,20.9,23.1,2.1,0
